DHCP Request,Sent by the DHCP client to ask the server to lease the IPv4 address listed in the Offer message.,"CCENT/CCNA ICND1 100-105 Official Certification Guide, First Edition",Wendell Odom,Chapter 20. DHCP and IP Networking on Hosts,https://www.safaribooksonline.com/library/view/ccentccna-icnd1-100-105/9780134440903/,https://www.safaribooksonline.com/library/view/ccentccna-icnd1-100-105/9780134440903/ch20.html,https://www.safaribooksonline.com/a/ccentccna-icnd1-100-105/23035812/,2019-02-12,9780134440903.jpg,dhcp-request.png,DHCP
DHCP Acknowledgement,"Sent by the DHCP server to assign the address, and to list the mask, default router, and DNS server IP addresses","CCENT/CCNA ICND1 100-105 Official Certification Guide, First Edition",Wendell Odom,Chapter 20. DHCP and IP Networking on Hosts,https://www.safaribooksonline.com/library/view/ccentccna-icnd1-100-105/9780134440903/,https://www.safaribooksonline.com/library/view/ccentccna-icnd1-100-105/9780134440903/ch20.html,https://www.safaribooksonline.com/a/ccentccna-icnd1-100-105/23036031/,2019-02-12,9780134440903.jpg,dhcp-ack.png,DHCP
DHCP Offer,Sent by a DHCP server to offer to lease to that client a specific IP address (and inform the client of its other parameters),"CCENT/CCNA ICND1 100-105 Official Certification Guide, First Edition",Wendell Odom,Chapter 20. DHCP and IP Networking on Hosts,https://www.safaribooksonline.com/library/view/ccentccna-icnd1-100-105/9780134440903/,https://www.safaribooksonline.com/library/view/ccentccna-icnd1-100-105/9780134440903/ch20.html,https://www.safaribooksonline.com/a/ccentccna-icnd1-100-105/23035796/,2019-02-12,9780134440903.jpg,20fig01.jpg,DHCP
DHCP Discover,Sent by the DHCP client to find a willing DHCP server,"CCENT/CCNA ICND1 100-105 Official Certification Guide, First Edition",Wendell Odom,Chapter 20. DHCP and IP Networking on Hosts,https://www.safaribooksonline.com/library/view/ccentccna-icnd1-100-105/9780134440903/,https://www.safaribooksonline.com/library/view/ccentccna-icnd1-100-105/9780134440903/ch20.html,https://www.safaribooksonline.com/a/ccentccna-icnd1-100-105/23035785/,2019-02-12,9780134440903.jpg,20fig01.jpg,DHCP
DHCP,Dynamic Host Configuration Protocol,"CCENT/CCNA ICND1 100-105 Official Certification Guide, First Edition",Wendell Odom,Chapter 20. DHCP and IP Networking on Hosts,https://www.safaribooksonline.com/library/view/ccentccna-icnd1-100-105/9780134440903/,https://www.safaribooksonline.com/library/view/ccentccna-icnd1-100-105/9780134440903/ch20.html,https://www.safaribooksonline.com/a/ccentccna-icnd1-100-105/23035329/,2019-02-12,9780134440903.jpg,,DHCP
What's a discontiguous IP network?,A network topology in which subnets of network X are separated by subnets of some other classful network,"CCENT/CCNA ICND1 100-105 Official Certification Guide, First Edition",Wendell Odom,Chapter 19. Learning IPv4 Routes with RIPv2,https://www.safaribooksonline.com/library/view/ccentccna-icnd1-100-105/9780134440903/,https://www.safaribooksonline.com/library/view/ccentccna-icnd1-100-105/9780134440903/ch19.html,https://www.safaribooksonline.com/a/ccentccna-icnd1-100-105/22891846/,2019-02-09,9780134440903.jpg,,IP
What's a contiguous IP network?,A network topology in which subnets of network X are not separated by subnets of any other classful network,"CCENT/CCNA ICND1 100-105 Official Certification Guide, First Edition",Wendell Odom,Chapter 19. Learning IPv4 Routes with RIPv2,https://www.safaribooksonline.com/library/view/ccentccna-icnd1-100-105/9780134440903/,https://www.safaribooksonline.com/library/view/ccentccna-icnd1-100-105/9780134440903/ch19.html,https://www.safaribooksonline.com/a/ccentccna-icnd1-100-105/22891826/,2019-02-09,9780134440903.jpg,,IP
Which transport layer protocol and port number does RIP use?,UDP port 520,"CCENT/CCNA ICND1 100-105 Official Certification Guide, First Edition",Wendell Odom,Chapter 19. Learning IPv4 Routes with RIPv2,https://www.safaribooksonline.com/library/view/ccentccna-icnd1-100-105/9780134440903/,https://www.safaribooksonline.com/library/view/ccentccna-icnd1-100-105/9780134440903/ch19.html,https://www.safaribooksonline.com/a/ccentccna-icnd1-100-105/22891788/,2019-02-09,9780134440903.jpg,,RIP
What's the administrative distance of a default route learned via DHCP?,254,"CCENT/CCNA ICND1 100-105 Official Certification Guide, First Edition",Wendell Odom,Chapter 19. Learning IPv4 Routes with RIPv2,https://www.safaribooksonline.com/library/view/ccentccna-icnd1-100-105/9780134440903/,https://www.safaribooksonline.com/library/view/ccentccna-icnd1-100-105/9780134440903/ch19.html,https://www.safaribooksonline.com/a/ccentccna-icnd1-100-105/22891741/,2019-02-09,9780134440903.jpg,19ex14.jpg,Routing DHCP
How do you configure the RIP process to advertise a default route?,(config-router)# <b>default-information originate</b>,"CCENT/CCNA ICND1 100-105 Official Certification Guide, First Edition",Wendell Odom,Chapter 19. Learning IPv4 Routes with RIPv2,https://www.safaribooksonline.com/library/view/ccentccna-icnd1-100-105/9780134440903/,https://www.safaribooksonline.com/library/view/ccentccna-icnd1-100-105/9780134440903/ch19.html,https://www.safaribooksonline.com/a/ccentccna-icnd1-100-105/22891689/,2019-02-09,9780134440903.jpg,19ex11.jpg,RIP
How do you disable autosummarization in RIP?,With the <b>no auto-summary</b> RIPv2 subcommand,"CCENT/CCNA ICND1 100-105 Official Certification Guide, First Edition",Wendell Odom,Chapter 19. Learning IPv4 Routes with RIPv2,https://www.safaribooksonline.com/library/view/ccentccna-icnd1-100-105/9780134440903/,https://www.safaribooksonline.com/library/view/ccentccna-icnd1-100-105/9780134440903/ch19.html,https://www.safaribooksonline.com/a/ccentccna-icnd1-100-105/22891600/,2019-02-09,9780134440903.jpg,,RIP
How does autosummarization work?,"Autosummarization is a routing protocol feature in which a router that sits at the boundary between different classful networks will automatically advertise a route for one entire classful network into the other classful network, and vice versa.","CCENT/CCNA ICND1 100-105 Official Certification Guide, First Edition",Wendell Odom,Chapter 19. Learning IPv4 Routes with RIPv2,https://www.safaribooksonline.com/library/view/ccentccna-icnd1-100-105/9780134440903/,https://www.safaribooksonline.com/library/view/ccentccna-icnd1-100-105/9780134440903/ch19.html,https://www.safaribooksonline.com/a/ccentccna-icnd1-100-105/22891555/,2019-02-09,9780134440903.jpg,19fig12.jpg,Routing
